route_id,route_code,origin,destination,distance_km,base_fare,frequency_mins,path_stops
R-21G,21G,Tambaram,Broadway / High Court,32.5,25.0,15,"STOP-021,STOP-022,STOP-024,STOP-006,STOP-007,STOP-008,STOP-018,STOP-016,STOP-032"
R-70,70,Tambaram,Koyambedu CMBT,24.0,20.0,20,"STOP-021,STOP-022,STOP-005,STOP-011,STOP-010,STOP-013"
R-18B,18B,Guindy,Chennai Central,14.8,15.0,15,"STOP-006,STOP-007,STOP-008,STOP-018,STOP-017,STOP-016"
R-570,570,Koyambedu CMBT,Kelambakkam / Siruseri,36.2,30.0,12,"STOP-013,STOP-011,STOP-005,STOP-020,STOP-040,STOP-041,STOP-042"
R-25G,25G,Poonamallee,Anna Square,22.0,18.0,15,"STOP-048,STOP-014,STOP-001,STOP-010,STOP-018,STOP-031"
R-11G,11G,KK Nagar Depot,Broadway,16.5,15.0,18,"STOP-012,STOP-011,STOP-009,STOP-018,STOP-016,STOP-032"
R-29C,29C,Perambur,Beshant Nagar,18.2,18.0,15,"STOP-035,STOP-036,STOP-017,STOP-008,STOP-019"
R-5B,5B,T. Nagar,Mylapore / Beach,10.5,12.0,20,"STOP-009,STOP-008,STOP-030,STOP-031"
R-45B,45B,Anna Nagar West,Guindy Terminus,15.0,15.0,20,"STOP-034,STOP-035,STOP-013,STOP-010,STOP-011,STOP-006"
R-M70,M70,Velachery,CMBT Koyambedu,17.5,18.0,10,"STOP-020,STOP-005,STOP-011,STOP-012,STOP-010,STOP-013"
R-70V,70V,Vadapalani,Tambaram,19.8,18.0,15,"STOP-010,STOP-011,STOP-005,STOP-024,STOP-022,STOP-021"
R-570S,570S,SRM Ramapuram,Siruseri IT Park,28.5,25.0,15,"STOP-001,STOP-002,STOP-005,STOP-020,STOP-040,STOP-042"
R-170X,170X (AI Rec),SRM Ramapuram,Chennai Central Direct,16.2,20.0,15,"STOP-001,STOP-003,STOP-005,STOP-007,STOP-016"
R-D51,D51,Medavakkam,High Court,25.0,22.0,25,"STOP-043,STOP-020,STOP-019,STOP-031,STOP-032"
R-27B,27B,CMBT Koyambedu,Fore Shore Estate,14.0,15.0,15,"STOP-013,STOP-035,STOP-036,STOP-017,STOP-037,STOP-031"
R-88K,88K,Kaundi / Porur,Broadway,20.5,18.0,20,"STOP-014,STOP-001,STOP-010,STOP-035,STOP-016,STOP-032"
R-12B,12B,Vadapalani,Fore Shore Estate,11.2,12.0,15,"STOP-010,STOP-009,STOP-008,STOP-030,STOP-031"
R-A1,A1,Chennai Central,Thiruvanmiyur,15.8,15.0,15,"STOP-016,STOP-018,STOP-008,STOP-019,STOP-038"
R-102,102,Broadway,Kelambakkam,35.0,30.0,10,"STOP-032,STOP-031,STOP-019,STOP-038,STOP-040,STOP-041"
R-47,47,Villivakkam,Adyar Depot,19.0,18.0,18,"STOP-034,STOP-013,STOP-010,STOP-011,STOP-006,STOP-019"
