rating_id,officer_id,citizen_id,professionalism,behavior,transparency,service_quality,rating_value,comment,ip_address,created_at,is_suspicious,anomaly_score
1,TN-TNP-30001,USER-145,1,1,1,1,1.0,Unsatisfactory experience fake officer!,192.168.1.105,2026-08-04 14:00:00,1,0.86
2,TN-POL-10002,USER-117,5,5,4,5,4.8,"Helpful officer, resolved my query in 10 minutes.",10.0.9.27,2026-07-17 08:00:00,0,0.11
3,TN-TNP-30003,USER-110,5,4,4,5,4.5,"Helpful officer, resolved my query in 10 minutes.",10.0.8.185,2026-07-18 20:00:00,0,0.17
4,TN-TNP-30003,USER-125,5,5,5,5,5.0,Extremely polite and transparent officer.,10.0.9.51,2026-07-23 08:00:00,0,0.3
5,TN-TNP-30001,USER-208,5,5,4,4,4.5,Efficient handling of traffic clearance during rush hour.,10.0.3.220,2026-07-27 00:00:00,0,0.28
6,TN-POL-10010,USER-195,1,1,1,1,1.0,Unsatisfactory experience fake officer!,192.168.1.105,2026-07-19 22:00:00,1,0.82
7,TN-TNP-30001,USER-207,5,4,4,5,4.5,Efficient handling of traffic clearance during rush hour.,10.0.12.238,2026-07-13 12:00:00,0,0.08
8,TN-REV-20004,USER-134,5,4,5,4,4.5,Suspicious request for extra processing charge without receipt.,10.0.17.87,2026-07-30 21:00:00,0,0.14
9,TN-TNP-30004,USER-220,4,4,5,5,4.5,Efficient handling of traffic clearance during rush hour.,10.0.15.193,2026-07-14 03:00:00,0,0.28
10,TN-REV-20002,USER-124,4,4,5,5,4.5,Efficient handling of traffic clearance during rush hour.,10.0.33.155,2026-07-19 13:00:00,0,0.12
11,TN-POL-10009,USER-158,5,5,4,5,4.8,Prompt response and courteous assistance at the counter.,10.0.34.57,2026-08-06 16:00:00,0,0.17
12,TN-TNP-30005,USER-146,4,4,5,5,4.5,Extremely polite and transparent officer.,10.0.37.94,2026-07-31 13:00:00,0,0.3
13,TN-POL-10002,USER-234,4,5,4,5,4.5,"Helpful officer, resolved my query in 10 minutes.",10.0.6.81,2026-07-10 04:00:00,0,0.26
14,TN-TNP-30005,USER-261,4,4,4,5,4.2,Extremely polite and transparent officer.,10.0.35.202,2026-08-05 12:00:00,0,0.25
15,TN-REV-20004,USER-245,4,4,4,5,4.2,"Delayed service, asked unnecessary questions.",10.0.42.209,2026-08-04 10:00:00,0,0.35
16,TN-TNP-30004,USER-120,1,1,1,1,1.0,Unsatisfactory experience fake officer!,192.168.1.105,2026-07-18 04:00:00,1,0.89
17,TN-TNP-30003,USER-111,5,4,5,5,4.8,"Very professional behavior, explained the verification clearly.",10.0.30.176,2026-07-12 06:00:00,0,0.09
18,TN-POL-10010,USER-103,5,4,4,4,4.2,Efficient handling of traffic clearance during rush hour.,10.0.44.165,2026-07-13 05:00:00,0,0.21
19,TN-TNP-30003,USER-253,5,4,5,5,4.8,Extremely polite and transparent officer.,10.0.14.109,2026-08-02 23:00:00,0,0.21
20,TN-POL-10009,USER-277,4,5,4,4,4.2,Extremely polite and transparent officer.,10.0.44.249,2026-07-19 06:00:00,0,0.16
21,TN-TNP-30004,USER-136,4,4,5,5,4.5,Efficient handling of traffic clearance during rush hour.,10.0.42.64,2026-08-03 13:00:00,0,0.34
22,TN-REV-20005,USER-235,4,5,4,4,4.2,"Helpful officer, resolved my query in 10 minutes.",10.0.49.16,2026-07-19 20:00:00,0,0.14
23,TN-POL-10001,USER-221,1,1,1,1,1.0,Unsatisfactory experience fake officer!,192.168.1.105,2026-07-15 19:00:00,1,0.73
24,TN-POL-10009,USER-261,4,5,5,4,4.5,"Delayed service, asked unnecessary questions.",10.0.3.24,2026-07-25 17:00:00,0,0.15
25,TN-REV-20005,USER-144,4,5,5,4,4.5,Suspicious request for extra processing charge without receipt.,10.0.35.134,2026-07-21 09:00:00,0,0.16
26,TN-TNP-30005,USER-253,4,5,5,5,4.8,"Very professional behavior, explained the verification clearly.",10.0.10.26,2026-08-06 06:00:00,0,0.17
27,TN-POL-10009,USER-279,5,5,5,5,5.0,"Delayed service, asked unnecessary questions.",10.0.31.24,2026-07-22 08:00:00,0,0.24
28,TN-POL-10005,USER-163,4,5,5,5,4.8,"Delayed service, asked unnecessary questions.",10.0.17.189,2026-07-14 06:00:00,0,0.16
29,TN-POL-10010,USER-229,4,4,5,5,4.5,Suspicious request for extra processing charge without receipt.,10.0.10.198,2026-07-10 18:00:00,0,0.09
30,TN-POL-10005,USER-166,4,4,4,5,4.2,Great guidance on registration procedure.,10.0.23.97,2026-07-11 21:00:00,0,0.07
31,TN-TNP-30002,USER-179,4,4,4,4,4.0,Suspicious request for extra processing charge without receipt.,10.0.15.183,2026-07-27 23:00:00,0,0.34
32,TN-REV-20004,USER-262,4,4,5,4,4.2,Extremely polite and transparent officer.,10.0.26.144,2026-07-13 15:00:00,0,0.07
33,TN-POL-10007,USER-281,4,4,5,4,4.2,Suspicious request for extra processing charge without receipt.,10.0.21.224,2026-07-12 02:00:00,0,0.25
34,TN-POL-10007,USER-232,5,4,4,4,4.2,"Delayed service, asked unnecessary questions.",10.0.18.34,2026-07-24 10:00:00,0,0.24
35,TN-POL-10005,USER-290,5,5,4,5,4.8,Suspicious request for extra processing charge without receipt.,10.0.35.66,2026-07-21 14:00:00,0,0.34
36,TN-TNP-30002,USER-298,4,5,4,4,4.2,Great guidance on registration procedure.,10.0.1.136,2026-07-25 08:00:00,0,0.08
37,TN-POL-10004,USER-129,5,4,4,4,4.2,"Very professional behavior, explained the verification clearly.",10.0.29.48,2026-08-08 14:00:00,0,0.08
38,TN-POL-10007,USER-158,4,4,4,4,4.0,Prompt response and courteous assistance at the counter.,10.0.1.53,2026-07-20 17:00:00,0,0.29
